,place_id,osm_id,name,rating,total_reviews,price,geometry,index_right,cartodb_id,info,zone_e_rioni,quartieri,nome
1493,146530442,185168185.0,Le Due Sorelle,3.5,163,4.0,POINT (12.437244842839458 41.80360335),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1511,114676404,44179274.0,Eur Caffe Casini 2,4.5,12,1.0,POINT (12.4679361 41.8348906),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1526,171923149,295134865.0,Ristorante della Casa Bernardo,2.0,1,1.0,POINT (12.4838884 41.8059056),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1528,146016014,190853584.0,MARE Fish & Food,4.0,22,4.0,POINT (12.429359229391224 41.80017805),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1583,129353739,124359628.0,Voice Restaurant,3.5,133,2.5,POINT (12.4731176 41.8343163),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1750,46958987,4053469370.0,La Pinetina Grill,2.5,3,2.5,POINT (12.5995144 41.6970304),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1761,331967566,1036835299.0,Strada è Gusto,5.0,10,2.5,POINT (12.484248 41.8065613),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1810,108006012,29269000.0,Griglieria dal 1968,4.5,32,2.5,POINT (12.4321574 41.7863521),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1825,25216300,2671770374.0,Loft 66,3.5,26,4.0,POINT (12.4586926 41.8227482),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1844,106867584,23846861.0,Chalet Ristorazione,4.5,15,2.5,POINT (12.5382218 41.7770712),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
