,Unnamed: 0,url,place_id,osm_id,name,rating,total_reviews,price,geometry,index_right,cartodb_id,info,zone_e_rioni,quartieri,nome,cuisines,diets
7662,3810,https://www.tripadvisor.it/Restaurant_Review-g187791-d2176476-Reviews-Pane_e_Tulipani-Rome_Lazio.html,108834205,29470677.0,Pane e Tulipani,4.5,728,2.5,POINT (12.3700759 41.7829455),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Pesce, Italiana, Pizza, Romana, Laziale, Italiana (centro), Mediterranea","Per vegetariani, Opzioni vegane, Opzioni senza glutine"
7663,3864,https://www.tripadvisor.it/Restaurant_Review-g187791-d2219241-Reviews-I_Gladiatori-Rome_Lazio.html,133149475,134687720.0,I Gladiatori,4.0,621,2.5,POINT (12.3719082 41.7464274),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Pizza, Pesce, Italiana, Mediterranea, Romana, Laziale, Italiana (centro)","Per vegetariani, Opzioni vegane, Opzioni senza glutine"
7664,3866,https://www.tripadvisor.it/Restaurant_Review-g187791-d2224134-Reviews-L_Anfora-Rome_Lazio.html,108484664,30060748.0,L'Anfora,3.5,161,2.5,POINT (12.3531456 41.7734453),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Pizza, Mediterranea, Pesce",Per vegetariani
7665,3921,https://www.tripadvisor.it/Restaurant_Review-g187791-d2278891-Reviews-Al_Confessionale-Rome_Lazio.html,109556762,30061559.0,Al Confessionale,4.0,480,2.5,POINT (12.3809251 41.7512185),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Pizza, Pesce, Mediterranea, Romana, Laziale, Italiana (centro)","Per vegetariani, Opzioni senza glutine"
7666,3934,https://www.tripadvisor.it/Restaurant_Review-g187791-d2286827-Reviews-Pizza_120-Rome_Lazio.html,131214087,126957313.0,Pizza 120,4.5,419,2.5,POINT (12.3677567 41.7790909),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Pizza, Mediterranea","Per vegetariani, Opzioni vegane, Opzioni senza glutine"
7667,3952,https://www.tripadvisor.it/Restaurant_Review-g187791-d2296180-Reviews-Zucchero_e_Limone-Rome_Lazio.html,132414856,131296907.0,Zucchero e Limone,3.5,312,2.5,POINT (12.3775479 41.7485932),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Pizza, Pesce, Mediterranea",Per vegetariani
7668,3997,https://www.tripadvisor.it/Restaurant_Review-g187791-d23117242-Reviews-Status_Quo-Rome_Lazio.html,148216411,199787702.0,Status Quo,5.0,33,2.5,POINT (12.2839313 41.7297533),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Salutistica, Mediterranea","Opzioni vegane, Opzioni senza glutine"
7669,4002,https://www.tripadvisor.it/Restaurant_Review-g187791-d23127910-Reviews-Cheers_La_Stradella_Del_Buon_Gusto-Rome_Lazio.html,124070620,98847998.0,Cheers La Stradella Del Buon Gusto,5.0,3,2.5,POINT (12.3576763 41.7385538),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Italiana,Per vegetariani
7670,4018,https://www.tripadvisor.it/Restaurant_Review-g187791-d23155095-Reviews-Pasticceria_La_Preferita_2-Rome_Lazio.html,134237115,137939247.0,Pasticceria La Preferita 2,4.0,1,2.5,POINT (12.3471407 41.7757442),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Bar, Pub",
7671,4035,https://www.tripadvisor.it/Restaurant_Review-g187791-d2318446-Reviews-Antica_Ricetta-Rome_Lazio.html,109057174,30085450.0,Antica Ricetta,4.5,311,2.5,POINT (12.3718425 41.7521698),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Pizza, Mediterranea, Napoletana, Campana, Italiana (sud)","Per vegetariani, Opzioni vegane"
7672,4121,https://www.tripadvisor.it/Restaurant_Review-g187791-d23360653-Reviews-Wenge_Beef-Rome_Lazio.html,79016009,7572034942.0,Wenge Beef,4.5,5,2.5,POINT (12.2639392 41.7408504),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Italiana,"Per vegetariani, Opzioni vegane"
7673,4156,https://www.tripadvisor.it/Restaurant_Review-g187791-d23418032-Reviews-Tibidabo_Beach_Resturant-Rome_Lazio.html,207412454,480493120.0,Tibidabo Beach Resturant,4.5,3,2.5,POINT (12.29714223918095 41.72108780000001),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Italiana,Per vegetariani
7674,4158,https://www.tripadvisor.it/Restaurant_Review-g187791-d23422605-Reviews-Mit_Bistrot-Rome_Lazio.html,109771679,32849309.0,Mit Bistrot,4.0,15,2.5,POINT (12.2753507 41.7312108),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Mediterranea","Per vegetariani, Opzioni vegane"
7675,4161,https://www.tripadvisor.it/Restaurant_Review-g187791-d23423193-Reviews-Braceria_Manzo_Pazzo-Rome_Lazio.html,106151827,23206726.0,Braceria Manzo Pazzo,4.0,4,1.0,POINT (12.3612854 41.7831581),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Steakhouse,
